MEDIAN	SYMBOL
4060	MYL6
4689	MYL6
570	ZNF204
3618	TPI1
4407	PIGR
810	ABCC1
3381	MRP
60	IL2
1380
3704	GPR19
296	CCM1
1253	LY94
237	SH3BP1
3934	ACVR1B
117	ZNF141
2151	PVT1
251	PVT1
3331	H6PD
422
74	CXCR3
4048	RPL38
4151	KIAA1030
3928	VIM
1110
74
4649	NAP1L1
310	SLC7A11
766	LOC57826
461	C15orf5
4296	OGG1
3428	PLRG1
2890	ACTG1
4256	SLC6A7
367	LOC56926
4360	DXYS155E
4625
106	B4GALT2
107	ZNF297
393	AGA
799	NDST1
4808	DKFZP434C171
51
4013	SETDB1
391
4201	KIAA0532
262
4176	ODAG
3333	ODAG
2706	PTPN13
467	SEC24A
55	DNAJA2
54	DKFZP566B0846
388	CENTD2
4847	CDW52
2144	P38IP
4630	DXYS155E
401	KLF7
3598	KLF7
63	Sfmbt
338	KIAA0194
4163	FADS3
1355	WHSC2
4758	MAP4K5
3187	SLC35A2
75	HBOA
2884	NKTR
3901	NKTR
4140	NKTR
2813	HBS1L
99	CG018
1845	CG018
2529	EPM2A
338	NUP160
423	DGAT1
63	SIAT9
2458	MKLN1
2441	KIAA0664
2395	KIAA0683
2692	DIAPH2
402	NESCA
51	RGS19
458	DKFZp586F1019
2832	LSM5
127	KIAA1116
2559	EIF1A
3802	FLJ20719
1385	NFE2L3
1529
2240	KIAA0795
64	BCAS2
3627	C21orf80
84	FARSL
77	CXorf12
2466	KIFC3
67	USP15
45	ZNF278
479	ZNF278
347	EIF3S4
3913	SAT
87	PCBP1
799	MBNL
1865	TM9SF2
937	H2AFL
1101	APRT
72	GLRX
1013	NCOA2
168	NCOA2
164	RRM1
70	AFG3L2
2199	RPS15A
3010	RPS15A
4429	JM4
197	FAM3C
143	FAM3C
41	TRIP15
4055	CLN5
291	PQBP1
124	COPB
162	SMARCA3
106	SMARCA3
3278	PAK2
176	COX7A2L
2284	GNPI
117	KIAA0063
3637	KARS
95	M96
2720	CKAP1
110	CYB5-M
2212	CYB5-M
2929	IKBKAP
250	C20orf14
122	PRKAG1
109	DKFZP564J0123
4636	SPINT2
676	SEC63L
1342	RSN
3306	KIAA0648
3272	MECP2
39	SURB7
97	SURB7
1541	MRPL23
178	LOC51020
3667	PCSK7
4798	PPIE
4029	PPIE
1025	PHGDH
68	HDAC2
218	MFN2
89	ARCN1
394	PPP4R1
909	UREB1
4138
197
41	ADFP
139	STOML2
714	COX7C
60	USP1
195	ABCC1
401	SDHC
204	MBD4
3923	KIAA0205
235	IGBP1
60	RAB1A
46	RAB1A
945	ADNP
945	KIAA0354
92	KIAA0978
627	OA48-18
72	HSP105B
2481	CNP
1964	QP-C
81	UQCRFS1
1139	UNRIP
147	COPS7A
3674	USP5
2857	KIAA0602
4409	RTN2
591	LRP10
2315	PAPSS1
1971	NUDEL
89	KIAA0368
2527	CBL
3071
2284	HLALS
617	HLALS
224	HLALS
2623	SH2D2A
50	DOK1
2507	SERPINB9
2903	AIM2
256	KIAA0471
163	KIAA0471
3508	CASP2
436	MPP6
164	LOC88523
437	PRAX-1
1419	ABO
3051	FZD6
168	VAV1
2256	MGC4701
4559	ARFGEF2
36	OASL
3899
3240	VNN2
3564	MIDORI
39
102
4631	OR7E126P
2852	ZNF267
1376	S100A5
79	ZID
1174	KRTHA3B
3890	RPS27A
4188	EFNA3
531	ZNF45
2913	RPS17
2670	RPS17
2995	ZNF37A
40	ICOS
389	GNB2L1
3967	GNB2L1
3059	GNB2L1
1067	DSC1
913	KRT2A
69	TAF4B
79	GP5
229	HTR7
5584	YWHAZ
1322	RPS4X
1253	B2M
3365	RPS3
4023	RPS7
800	DDX5
577	SSR1
2809	DCN
180	COMT
776	MTMR1
1242	AKAP11
26	NUP155
89	KIAA0350
66	FLJ14393
63	FCGR2B
533	NFX1
174	ACATN
3216	TFE3
3467	MAN2B1
81	RPC62
2373	TBC1D4
3836	CENTG2
1657	LOC220594
547	BCR
95	KIAA0107
3040	CUGBP1
2979	RECQL
87	FLJ22028
200	MRS2L
122	KIAA1078
1001	TREX1
4555	ARPC4
4384	ARPC4
1524	STHM
338	SMARCD2
155	SMARCD2
682	CD2AP
3603	RPS23
141	BET3
3913	MGA
3889	CHD3
3838	FCN3
91	STAG2
174	KIF3B
1321	SAMHD1
2340	FUSIP1
3098	FUSIP1
2366	IGF1R
1144	GLS
723	FKBP5
4041	COX11
674	CACNB3
2836	AHCYL1
1643	KIAA0185
708	KIF5B
180	SF3A1
346	ROCK1
3155	COG5
195	SHMT1
88	FOXO3A
148	TFDP2
3284	BCL2L1
178	SCRIB
2497
117	SLC31A2
974	ZBTB1
287	NEK7
203	SYBL1
430	ADPRTL2
4514	ADPRTL2
216	ADPRTL2
117	EIF2B5
81
74	CSPG6
53	LARS2
118	KIAA0020
98	MAP-1
323	TXNDC
59	MAP3K8
88	TBCA
643	PPT1
3248	ADM
4328	SIAT7D
2996	PLXNB2
203	WS-3
69	JMJ
132	BUB3
272	KIAA1025
98	TSGA
2779	NRD1
94
1768	SERPINB6
2390	ACAT2
644	TCP1
1003	AHCYL1
1148	TRAM
58	PPAP2A
3323	BAG1
3192	LOC55977
148	LRIG1
4282	KIAA0710
112	USP12
731	FLJ10618
99	KIAA0999
82	KIAA0999
2066	DKFZP434K046
84	ATP5G3
141	EIF1A
143	UBA2
4023	EP400
4181	EP400
3794	A2LP
1238	CD164
85	DKFZP586D0623
52	TP53BP2
3343	DPP4
95	UBQLN2
3733	AD022
107	SDHA
239	ULK1
1244	POLR2I
100	DKC1
1121	DKFZP564K0822
4077	KIAA0763
122	DKFZP586O0120
3066	NCSTN
3699	RAB5C
76	KIAA0376
3413	MP1
479
1746	EIF3S8
4117	SNRPN
107	CGI-51
4384	FDFT1
342	SARS
1530	UBE2E3
109	LOC57019
489	PAPOLA
2614	FLJ20986
1887	KIAA0176
4198	MAGED2
4873	MAGED2
996	GOLGA3
631	LOC51097
184	CGI-57
118	NDUFS6
59
2135	KIAA1089
53	MGC29816
2233	NEBL
4111	NTE
194	RB1CC1
542	CPD
618	JAK1
177	SMC4L1
118	DPM1
97	MGC10433
4148	NOL5A
564	RNF10
1145	SYNGR2
103	RDX
125	RDX
99	ATP6V1A1
3814	ATP6V1A1
126	PIN
408	TNFRSF10B
48	NDUFV2
111	P125
553	KIAA0492
1967	KIAA1218
4179	GRIK5
3285	DKFZP564F013
622	DAPK2
4710	PSTPIP1
4448	TNFRSF4
60	GPR65
94	KIAA0940
4172	PAX9
161
3355	SLC4A7
355	KIAA1971
223	APOBEC3G
2988	APOBEC3G
215	ABCC4
250	RUVBL1
46	D6S2654E
4663	TACTILE
3727
345
346	CST7
3918	LOC94431
4323	DKFZP566F0546
1441	ATP8A1
3556	KLRG1
2525	GASC1
1765	KCNA5
65	HNRPA1
214	ZNF137
46	N143
1230	PRMT3
3523	ZNF161
2995	TNFSF9
4077
3506
1387	NM23-H6
89	TAF1A
4125
93	PER2
2804	HCGVIII-1
2337	LBP
3091	CD74
4000	HLA-J
182	CHP
1345	ZNF254
109	CXCL5
305	ZNF273
2135	KIAA0276
170
1997	BTF3
4326
521	U2AF1RS1
3736	HSU84971
1530	HSU84971
38	JRKL
1865	CNTN6
203	FGF9
2122	FTL
74
3879	NRG2
478	SNAPC4
74
3329	ZFP
5306	LMO1
785	KIAA0874
1214	RPL13A
2431	RPS6
136	GSR
4390	MYO1F
3390	MGC10471
408	P15-2
4320	AKAP8
3062	LOC57209
3374	CDK8
3107	DKFZP564D172
3566	MNT
2570	TNFRSF5
1271	DOC-1R
471	RAMP3
122	NBS1
1595	BTBD2
110
287	TBCE
3654	LDB1
96	ACVR2
130	KIAA1041
4442	MGC13033
109	DSCR3
1143	KIAA0433
3566	MAN2C1
2052	SPG4
288	TPST2
2968	EEF1A2
4224	KIAA0725
289	B3GAT3
129	LOC113251
3723	FLJ10849
136	KIAA0546
87	TAF5L
608
110	CHC1L
365	RTCD1
4547	LOC57146
190	KIAA0982
3035	PITPN
2017	HNRPL
77	RNGTT
57	MORF
2457	COBRA1
121	CEP2
2030	KIAA0874
717	KIAA0766
110	KIAA0753
53	TRC8
137	WBP4
1374	UGDH
89	HDCMA18P
3096	MFAP3
60	PDCD10
502	MGC3047
1889	PURA
202	ZNF75
50	AIBP63
3396	MGC14376
1998	RBBP8
3853	CPT1B
2549	CPT1A
96	CL24751
66	SRP19
68	CETN3
34	CETN3
1938	RECK
3700	RECK
3986	RECK
1807	TRAF5
3326	EMD
3251	FLJ14888
238	KIAA0335
161	KIAA0460
1378	F5
131	SNAPC5
2230	HIVEP1
2743	KIAA0528
3020	GAB2
136	FLN29
91	RANBP7
2517	SLC5A6
2492	SFRS2IP
182	SFRS2IP
399	MONDOA
1876	GMFG
2893	ITGB4BP
372	EIF4EBP2
2985	NDUFS3
3168	FXR2
178	BLCAP
83	BLCAP
69	AXOT
5750	SNRPD2
417	ACTR3
3438	GNG5
215	MMS19L
648	AP1G1
3447	AP1G1
4190	SPON1
1988	RPS29
137	TAX1BP1
4941	CD81
2487	FLJ10738
942	RY1
2777	ARHGEF9
114	GAPCENA
84	FLJ31657
3953	BAT1
1736	SSA2
4310	SSA2
4114	SSA2
74	GGPS1
67	NDUFAB1
288	EIF3S7
3866	MKNK1
2538	PITPNB
107	EPRS
65
4167	NXF1
86	INSIG1
403	RAB6A
525	XPNPEP1
3273	DDX15
552	GDI2
342	MGC2668
172
3603	CREG
199	MCM2
3577	KIAA0310
192	CNAP1
53	RAGA
2808	MGEA5
1117	KIAA0475
60	CTCF
4274	SLC11A2
35	TLK2
292	EIF3S9
58	RAB14
1570	54TM
1087	EIF3S3
207
4120	LOC51706
660	CTNNAL1
3495	ROCK2
341	UNC84B
146	FBXO7
2570	MEL
99	MEL
4140	TRIM38
449
105	GOT1
31	FEM1B
534	PRKAB1
117	COPS3
88	RBM4
300	PSMC2
303	DDX30
98	MGC9651
100	PUM2
1354	PINK1
3614
200	APPBP1
1284	ILK
183	LGALS3
172	ZNF207
3854	KIAA0937
248	STAF65
133	LRBA
76	IL8
109	PIK3R1
276
3952	RECQL
349	KIAA1094
492	ZNF44
151	ZNF44
3970	C16orf7
2744	ZNF22
149	JAG1
2138
2083	MED6
2795	MED6
413	MED6
1957
190	MEF2D
798	HADHSC
4128	GOLGA2
256	SF1
4585	SF1
177	GLE1L
3646	KIAA0489
2809	KPNA6
1235	KLRB1
1342	GTF2I
201	KIAA0450
574	ABCB10
181	DNAJB12
3246	DNAJB12
216	GRM4
123	SNAPC1
1724	CYP4F12
1816
596	SMARCF1
625	HSU52521
3386	KIAA0861
1296	FLJ20619
3182	KLRC4
2367	KLRC4
629	KIAA0514
3910	TNFRSF10D
296	SLC4A8
1265
3345	SLC16A7
3612	TSPYL
785	LOC65243
2784	F2RL3
123	ZNF253
5439
34	ZK1
1469	GIPR
3965	AOC2
3099	CGRP-RCP
314	KNSL4
4633	ROD1
2754	EDG2
4330	DKFZP564P1916
511	TCFL5
4110	BOP1
4982	HELZ
1492	TOMM40
3913	PMVK
5059	CD97
621	SGSH
66	MKL1
2501	LLGL2
2477	POLR2H
2256	CBLB
73	ELMO1
2873
203	MTX2
3889	NUCB2
698
1214	SURF1
2783	XPC
106	KIAA0442
75	KIAA0356
158	MAP3K4
115	MAP3K4
1316	GPS2
4380	KIAA0379
2053	RNF6
3470	TARBP2
25	IL10RA
3702	CASP6
667	PIK3C3
1296	SEMA3F
344	GTF3C1
1010	DKFZP434N093
2451	SCAM-1
60	MGC9084
32	ZFHX1B
3213	ZAP
3596	RING1
2160	MTCP1
1398	MTCP1
3841	HERC3
89	HPCAL1
183	MAP4K4
2540	CHS1
26	PTS
3214	BUB1B
3703	DNM1L
2999	PDGFA
1883	NR1D2
1047	NR1D2
81	FLJ11149
4123	MGC14480
54	LRRN3
1768	PDXK
809	DKFZP564M082
1156	SP110
115	KIAA0893
220	RENT2
2943	NUDT1
4616	KPNA3
5343	URKL1
4119	ITGA4
3523	MGC8974
320	ACTR2
441	ACTR2
225	GBP1
87	GRINL1A
2162	HMGN4
164	HMGN4
163	MTMR3
422	PIP5K2B
452	BC008967
2779	CPSF4
4032	KIAA0141
6413	PCBP2
5189	PCBP2
3651	SDFR1
895	EEF1B2
451	TADA3L
2971	HT010
75	SDHB
156	PRPF8
1051	TMP21
3354	RGS19IP1
321	RUVBL2
96	CCT2
3096	ATP5H
66	AASDHPPT
3615	KIAA0483
3634	KIAA0540
1884	OFD1
319	GABARAPL2
685	GPR56
4840	ATP6IP1
220	DEAF1
1454	NDUFB7
465	NDUFB7
4362	HSKM-B
43	RNF4
1436	KIF5C
226	VPS45A
865	VAMP3
133	VAMP3
321	GABARAPL1
4477	KIAA0476
95
98	KIAA1042
131	VPS26
2910	MPDU1
130	G3BP2
3988	HDAC6
73	PTK9L
3106	NSAP1
44	DNAJB9
97	P2Y10
606	PAFAH1B3
434	ITPA
902	KIAA1014
96	ASH2L
67	GORASP2
2982	GORASP2
1131	CYBA
5215	SFRS6
3337	SFRS6
957	ARPC3
81	RNF13
3976	TRN-SR
219	TRN-SR
202	GA17
58	HYPB
313	CSTB
2151	MBP
404	HCS
1003	CYC1
2115	HDAC3
131	PPIB
499	ZNF238
2254	ZNF238
3533	SUPT5H
664	KIAA0905
208	CRIP2
180	IGSF4
254	KIAA0370
2072	ATP9A
96	LOC51141
3720	PDL-108
2407	NUDC
68	LOC57862
67	SQLE
430	DKFZP566H073
510	POLR2L
290
1307	NEK9
2540	SDC4
53	SEC24B
1066	USP24
53	RAI17
3418	PSR
97	PSR
16	PSR
2846	PRKCABP
4285	PMS2L9
2585	PMS2L9
2981	ZNF268
3879	AGER
5038	PDE3B
562	PAFAH2
88	KIAA0924
966	OMG
4012	GAPD
3393	CCNF
3004	PHLDA1
3352	MMPL1
3312	MMPL1
2583	DRIL1
351
139	SYCP2
2055	INPP4A
549	LILRB1
4447	PMS2L9
4061	EIF2S3
4238	CPT1B
59	MICB
233	POU4F1
116	GABPB1
576	GABPB1
60	B3GALT4
2680	SSX4
3196
900
1591	KIAA0844
4182	IKBKB
673
583	HKE2
446	QPCT
3487	MPHOSPH9
3388	MPHOSPH9
318	FLJ11712
1755	HYPH
210	LRMP
59	MLLT3
267	PRRG1
2144	PLCB1
183	WDR18
46	E2F6
631	MYST1
284	MYST1
4175	KIAA0478
4483	LSM6
1621	MSC
47	MDS033
476	ZWINT
2637	ZWINTAS
124	KIAA0781
1891	METTL1
154	KIAA1012
119	PARN
501	IKBKG
3342	SWAP2
41	CL683
2821	STX10
3832	PIBF1
1341	C4orf1
132
692	STK19
2935	KIAA1641
168	LEF1
109	PRH1
3516	POLR2F
3860	TCIRG1
4087	DKFZP586I2223
31	ING1
312	LOC51668
1761	SFRS12
3069	KIAA0258
3086	GPAA1
1117	SH3BGR
791	PDE6D
60	ZNF363
82	NEK1
61	HRIHFB2436
60	SPATA2
2569	CDKN2C
1773	KIAA0892
2269	FLJ21588
4220	LRP4
386	SRP54
393	LPXN
2606	KIAA0828
3841	CCS
268
3003	ZNF189
3635	IPW
584
236	DKFZP564O0423
413	CLOCK
1575	SAS
255	DSCR2
151	SAC2
123	TBL2
4284	SCAP2
1224
867	KIAA0614
133	ETR101
184	SFRS1
317	SFRS1
3379	VEGF
391	VDAC3
391	CCL3
1584	UQCRH
721	ATP5J
549	PEPD
79	RAB5A
4970	SFRS2
2825	SFRS2
35	CLK3
3920	PTK2
5534	NCOA1
3701	FVT1
47	PSMA6
3147	MPST
255	RALY
547	NBP
522	NBP
3265	TMP21
4354	KIAA0397
2820
110	CLIC1
3305	EBNA1BP2
489	PIG11
228	CHD4
3541	CAPNS1
868	C6orf4
1814	SCA1
33	CASP3
3693	SIAHBP1
402	OAZ2
4184	SSR2
4185	APLP1
3718	HU-K4
6285	GDI1
455	DDX9
428	KIAA0275
1185	DCTN1
3831	PRNP
3971	PTPRN2
3100	AP2B1
6081	BSG
67	DLD
1251	PDX1
241	COX6C
132	DNAJC8
208	ATP6V0B
3801	NDUFA1
888	YF13H12
424	PC4
215	AP3D1
2703	AP3D1
574	MACMARCKS
515	HIVEP2
621	TBCC
2573	TSN
4335	SHMT2
314	MAPKAPK2
3913	MAPKAPK2
76	LASP1
3687	FASTK
112	AARS
782	RNPS1
3294	RNH
2799	GTF3A
3560	ILF2
43	CDR2
3512	TFAM
751	KIAA0193
1104	POR1
1375	LRPAP1
960	IDH3A
3654	PFKM
72	TOMM20-PENDING
877	DAP
944	PRKCZ
3817	BAT8
295	GLO1
159	PKIA
3331	ODC1
86	NDUFA9
41	SLC16A1
80	SEC14L1
75	BRD2
2925	BRD2
1040	BRD2
96	PRKACB
1494	SNX4
2417	STK38
1222	STK38
2133	ACYP2
4068
4059
4430	FKBP3
821	IL7R
2169	IL17R
1446	MGC17330
2813	FGF13
350	CSNK2A1
1839	POU2AF1
217	SPRR2C
532	TLR1
820	NSG-X
327
3245	GNS
4022	MATK
3702	SLC7A1
3383	CD3E
4079	KIAA0556
575	GZMK
4120
397	PIK3CG
61	CXCR6
174	STK4
73	ZNF134
694	LTA
4110	ATF1
3463	PRPH
159	MAGEA4
323	ZNF85
2745	SERPINB8
98	EVI2A
1620	FLT3LG
487	FUT7
1512	CCBL1
3706	AANAT
4306	RPL7
431	LY9
503	KIAA0963
1837
3124	F2RL1
2383	H2BFD
69
3954	RPL9
659	PRKACG
1823	KIAA0507
206	MFAP3
137	IL18R1
125	UPK1A
3464	PDK1
2824	CRTAM
3829	CCNT1
955
1389	RNU2
3552	PLCB3
25	HZF12
56	DKFZp570I0164
490	ELAVL2
98	IRF7
2248	P2Y10
804	CASK
1165	ACAA1
4206
96	MGC15396
61
2613	MCCC2
134	PPM1A
118
1828
589
2430
69
357	KIAA1029
3548	KIAA0711
55	DKFZP564I052
244	GMPS
3876	KIAA1018
696	ENPP4
834	RPA40
1152	IL1RL1LG
1377	RAI15
77	BAG5
4032	IRF5
54	NMI
1537	USP20
309	KIAA0776
2848	SMAP
1814	PHKA2
3921	ATP2A3
131	GALNT3
3694	KIAA0995
347	EGFL5
281	PRPS1
240	PRPS1
321	PSMD9
1102	LSP1
92	SEDLP
3128	IMPA2
126	CELSR2
130	H105E3
1306	PPM1A
3843	FARS1
3880	AKAP9
109	RPL35A
69	GTF2F2
466	SACM1L
76	CGR19
51	GNE
111	U2AF1
358	ERCC1
2930	KIAA0690
169	ATP7A
184	EXTL2
136	LOC51634
4816	MGC2650
4302	MGC2650
1721	SYNJ2
46	MFAP1
247	P114-RHO-GEF
197	PPP1R13B
1865	SLC9A6
4634	KIAA0542
4244	KIAA0542
763
243	DKFZP586P0123
200	ASMTL
138	ASMTL
137	CACNB1
97	PCCB
58	FLJ90005
81	ZNF183
4275	CTNS
100	TOP2B
669	ARL6IP
60	PIAS1
268	IDH3G
39	RGS1
3205	H2AFY
332	MIG2
277	BIRC2
123	UBE4A
93	FLJ13910
2013	GARS
248	GARS
102	SNX1
147	ARF4
1470	AIP
665	EEF2
3702	UNC84A
5556	AKR1B1
38	TUBA1
283	PHB
114	EXT2
564	NOLC1
3505	INPPL1
72	ME2
3969	PSME1
2167	VCL
1113	INPP5E
111	GCN1L1
131	UBE2N
3781	NAGA
141	MDH1
2528	R3HDM
226	ACP1
135	KIAA0280
3970	IFRD2
2339	HSPA5
198	ARMET
382	DAZAP2
3592	ID1
255	SOD1
3359	IMPDH2
2891	ZAP128
243	HSD17B4
260	RALBP1
2606	DSIPI
4242	DSIPI
237	PRDX3
2255	AKAP10
241	AKAP10
63	BTG2
1976	ATP11B
3622	OAT
2055	ANXA11
97	ADSL
77	CAPZA2
112	RELA
203	FLJ10326
201	CRSP9
243	PMSCL2
292	CCND2
3527	ACP2
1454	UROS
369	HNRPA2B1
115	RAB11A
4388	GALT
4471	P4HB
157	PYGB
2692	DIA1
1360	FOSB
1812	RCD-8
3123	ASNS
2882	PRCP
963	MPI
40	CCL4
611	PFN1
5560	RPN2
82	COPB2
5408	TAGLN2
500	SRPR
4280	AMY2B
3809	PCM1
49	AMD1
167	AMD1
818	COX7B
1227	SCP2
59	NR3C1
1296	MTMR9
45	PIGCP1
438	TBX19
43	AP4S1
318	MAFF
245	BIA2
1251	LIAS
3197	PDK3
2873	PDK3
131	PDK3
59	CCR5
2014	SIMRP7
3500	KIR3DL2
3798	CRYBA4
39	GIT2
2469	SPAG1
621	ADCYAP1
3676
1311	RBBP5
3861	HLA-DQB1
155	LAG3
1094	D12S2489E
4628	CLU
713	H-plk
2596	GH2
4215	HSPB1
1672	RPL10A
3018	TPM1
321	TPM1
2839	LOC58500
4719	PSAP
118	SPN
4173	INDO
2622	PTPN22
226	TRIP13
3600	KIAA1109
1918
210	VAMP4
122	MJD
157	MJD
4249
3003	TAF15
2914	TRIM22
219	GTF2F1
35	GOCAP1
2739	PER1
150	KIAA0472
2260	GLA
136	PRKCL2
4500	FLJ10737
143	SIPA1
71	NXP-2
2219	LOC51690
176	LOC51690
175	RAD1
75	RRS1
87	C19orf7
2045	KIAA1115
273	PEX3
2498	KIAA0759
295	KIAA0804
1247	ARPP-19
3059	CR2
3025	IBTK
2232	HLA-DQB1
50	NQO2
4395	ETFB
2001	KRT13
1987	KIR2DL3
1534	KIR3DL1
5027	KIAA0841
268	FCER1G
556
179	ORC3L
41	ARNTL
52	PRIM2A
490	SATB1
242	STIM1
4331	TMF1
67	ARHG
121	MAP3K7
618	MVK
46	WEE1
130	MAP2K4
1182	SLBP
4512	CTSO
4121	MTM1
716	TCTE1L
39	MAPK6
3212	C1orf29
80	ZNF146
68	HUMAUANTIG
538	TAGLN
235	GTF3C2
369	NDRG1
29	C20orf111
3491	RASA1
1116	TSTA3
4364	ASAH1
4238	TIAF1
189	AF1Q
93	KIAA0174
4577	PLAGL1
5258	C12orf8
47	DYRK1A
548	CRI1
122	CSNK1D
243	HSGP25L2G
99	MRPL49
4202	HADHA
41	MADH4
271	KIAA0218
2803	C5orf8
759	SLC20A2
96	PRKCBP1
977	ZYX
1378	UBE2V1
63	EDR2
2038	DKFZP586A011
264	COPA
527	PGD
1261	MBTPS1
3030	ANK3
230	OIP2
875	KIAA0182
1657	RW1
1790	RNP24
168	SF3B2
689	PSMF1
281	MGC8721
316	NAPA
298	PA200
60	SLC2A3
67	PROL2
131	SRP9
3981	USP14
2271	HPR
281	IDI1
238	LYPLA2
282	LMNB2
434	TNFAIP1
4173	DAG1
2558	SFRS4
3510	TXN
281	ATP6V0C
5145	OS-9
4479	AK1
231	SCA2
3798	STK38
523	DKFZP564B167
1114	CAPN2
333	BLVRB
1508	CD63
502	NBL1
2084	TDE1
198	CAT
86	GTF2A2
4342	CAPZB
238	MX1
2708	CTSH
1373	LCP1
2976	PIG7
1252	PIG7
98	COPEB
916	AHNAK
908	PPP1R15A
815	ATP5O
63	KIAA0887
369	C9orf10
398	GPX1
88	ANP32A
292	SERP1
3276	MDN1
268	P4HA1
3268	ABCD3
389	HLA-DRA
3895	G2AN
49	ID3
1830	KIAA0254
113	PSMA5
75	NPC1
112	TOMM34
2944	TOMM34
62	TOMM34
395	TRAF3
191	CD3Z
2949	YDD19
155	KIAA0426
2632	FPRL1
4050	PPOX
269	ALOX5AP
1132	IRF3
844	FMNL
2010	BRMS1
643	ZNF354A
39	PPM1D
233	PFKFB3
267	C6orf32
89	VAMP4
4678	NKG7
63	SSA1
3561	DEFCAP
3983	NPFF
631	INVS
3115	GZMB
4174	PFAS
775	GNLY
34	KIAA0404
3884	SCGF
297	AB026190
449	PPARD
2262	KIAA0673
2451	CALB2
15	DJ159A19.3
194	DKFZP564M182
96	D10S170
3400	LAMP3
1428	CPB2
128	MRPL19
173	CD58
234	LOC91137
55	PLCG2
4478	MPV17
1305	PCK2
1030	PMM1
3316	UMPK
4275	GATA2
1551	LOC51626
3086	GSTT1
458	FCGR3A
180	INA
4316	BDH
1162	SP2
4275	DNASE1L1
1656	BTG3
67	KIAA0172
122	BNIP1
1397	ATR
57	KIAA0469
1335	KIAA0586
172	KNG
1728	AP3M2
144	HARSL
44	MGC5149
82	UCHL3
157	GABPA
1411	24432
4516	MYCBP
3931	SNAPC2
319	ZNF133
3167	NDST2
39	HTCD37
150	ZNF131
2453	ZNF32
4083	VEGFB
2819	LZTR1
2244	TAF6
59	ITPKB
150	BTD
25	GABPB1
125	IQGAP2
3681	TAZ
2996	GEM
2209	KIAA0233
1595	MAD2L1
2590	ALAS2
309	NRCAM
147	MAML1
355	KIAA0097
53	BTG1
46	GTF2E2
292	ARL1
179	LOC84549
317	GABARAP
4060	GYS1
120	DNCH1
171	ADPRTL1
409	CBX1
2988	EZH2
3756	GNAI2
241	GPR107
1554	ARHA
336	PLAU
314	TALDO1
43	TRIP-Br2
42	SMN1
80	BM036
85	BM036
3741	PAFAH1B1
321	ETF1
185	PTDSS1
122	TTC1
2318	TFRC
3255	FDPS
295	PLP2
69	PLEK
3115	NDUFV1
230	ALDH4A1
2553	ALDH4A1
881	DNMT1
248	HNRPA0
3005	DGUOK
3408	UBXD2
50	SNRPG
4174	PRPSAP1
2800	USP4
4216	GLUD1
4398	IVD
3855	HLA-DMA
2468	CALU
4462	ARF5
1326	DDA3
3816	HMGN3
55	PSMD10
77	UP
3463	SP100
3870	SP100
3725	SP100
4361	STARD3
117	P115
227	GCSH
238	UBE2E1
156	KIAA0102
2812	FIBP
491	RAB5B
2112	KIAA0429
6383	REA
315	DNAJB2
3849
67	ATP6V1E1
677	UGP2
3272	ANXA4
3575	KIAA0638
268	LOC51035
400	LMNA
176	SF3A3
36	GTF2B
31	GTF2B
479	RPS26
3039	HLA-C
1655	FEM-2
80	PPIG
4970	KDELR1
3650	KDELR1
157	IMAGE145052
494	DDX38
304	CTSL
2328	PHKB
180	ATP6V1F
468	PECAM1
214	PECAM1
58	AKR1C3
355	GSTT1
781	ANXA1
65	MAPRE2
4118	SRPK2
4329	CENTB1
3919	PIP5K2A
636	ATP10B
25	ARHH
3141	POU2F2
4136	HLA-F
2763	HLA-F
1385	SLC12A2
2315	HCR
1688	HCR
2113	PIASX-BETA
3194	PIASX-BETA
3418	PIASX-BETA
70	MGC3248
2926	KIAA0590
3716	KIAA0419
2687	LOC51601
4502	DKFZp586I1420
246	FLJ10140
229	TMEM5
3678	KIAA0443
3535	GNAS
4604	GNAS
4871	GNAS
4668
76	CLPX
2882	COL8A1
2014	TIAM1
192	SF3A2
350	RAB7L1
124	JAK2
4602	LAIR1
130	RPP40
3437	MANBA
691	TRIAD3
334	CD72
93	PRP17
2518	SLC27A2
1138	KIAA1093
930	TAF1
553	CSF2RB
2795	CAT56
88	NRF
145	SMURF1
372	FNBP3
4143	FNBP3
500	FNBP3
179	CRLF3
154	STX8
2538	KIAA1039
44	NUFIP1
3828	HSA6591
1546	HSA6591
40	STK17B
122	ELK3
297	ACADM
3245	CREB1
112	CD83
44	ARFD1
82	SELPLG
1978	ARHGEF6
58	NFIL3
2688	B1
185	KIAA0211
247	TESK1
110	PWP2H
2228	GCA
2775	SLC4A2
4452
69	NFYA
1649	MIZF
4111	MMD
2754	SALL2
242	PDCD6
3197	zizimin1
3598	HEF1
96
524	MGC14258
105	AFAP
2073	CYFIP2
173	PPP6C
3699	FANCG
96	SNRPA1
905	ZNF142
1062
197
69	UCP2
289	SEC6
1782	RASSF2
79	NUBP1
551	FLJ10803
4359	GRB10
2109	AUH
46	KIAA1128
213	METAP1
118	TAF12
1650	IL6ST
2288	PSIP2
309	NR4A2
2564	IRF4
2861	IRF4
161	CSNK2A2
4068	ZRF1
3327	HPRT1
3022	IFI44
49	KIAA0157
468	TNFRSF6
108	TNFRSF6
42	CD69
224	AOAH
266	KIAA0153
14	HMBS
103	MKRN1
90	RCOR
929	CABIN1
806	SNX17
417	GOLGB1
560	SCAP
