MEDIAN	SYMBOL
103	CSK
95	FNTA
1085	POLA2
68	PIM1
4466	PMS2L8
3639	FGR
276	ELK1
2081	STMN1
3054	RBBP1
136	RBBP2
61	DUSP4
95	COPS5
3228	PMS2L11
3186	CDK10
4677	CDK2
94	CDC2L5
213	CCND3
72	CCND3
164	CDKN2D
4426	LIV-1
373	BARD1
588	CDC7L1
4023	LENG4
67	PRKCD
1281	EGFR-RS
64	TGFBR2
92	TGFBR2
4316	RASA2
3347	PFDN5
2725	TC10
3474	ITPR3
2095	PCNA
135	IQGAP1
3706	MYC
317	TGFB1
3948	MCC
1186	CCNI
3764	RRAS2
510	RRAS2
252	RAN
2216	RAN
243	NCYM
123	RET
5842	MAP2K1
317	LGALS8
177	RAP1A
325	RBBP1
102	MLH1
16	TNFSF6
1654	TNF
213	REL
25	MADH7
27	TNFSF6
54	TP53BP2
3928	BAD
392	ATM
3186	SKIL
96	CFLAR
3838	CFLAR
593	MAP4K2
372	PTPN11
156	XPC
54	RAD23B
5666	PMS2L3
1107	RALA
281	RALB
159	ERCC1
106	PCNA
3096	ERCC3
19	MAP3K8
138	NF2
35	JUN
2431	ABCC1
3803	TGFBR3
3136	NR4A3
125	ERCC1
82	RAP1B
813	MYCBP
768
2122	BCL2
2583	MUC8
45	GADD45A
110	CCNG2
205	FOS
3085	FOS
1152	RAF1
1801	VAV1
78	TAF7
555	CCNG1
1764	CCNC
47	CCNH
653	MADH2
3548	TAF9
4394	ABCC5
4018	MDM4
12	MYC
2975	RB1
1061	TP53
186	KRAS2
147	CDK4
3468	CCNA2
271	NOS2A
199	CASP4
337	MADH3
152	MADH5
4556	VEGF
225	KDR
948	OAZIN
2842	FLT1
31	CDK7
4194	NME3
3787	FHIT
61	MYC
4044	TP53
86	ETS1
1880	NOL1
4458	NME3
3649	NME2
3174	MAX
3659	CCND2
4057	ARHGDIB
642	NME1
657	RBL2
668	PRKCL2
2963	MAPKAPK3
4302	FHIT
184	ATF2
2920	BAX
4350	BAX
655	MAPK14
2351	ATM
4068	ATM
72	BCL2A1
123	MSH6
141	MAP3K1
3700	JAK3
2965	B2M
4337	SKP1A
3536	PRKDC
329	PMS2
3028	RPL10
3367	ITGB7
64	HSF2
2764	AKT2
2619	APEX
66	CDKN1A
1127	ENO1
3598	CD44
3191	RPS6KB1
291	FYN
4769	ABL1
66	MYB
3783	BCR
76	RB1
61	JUNB
2248	RAC1
124	MGMT
1838	MGMT
249	CDH2
171	FGFR1
3680	FGFR1
183	LCK
3366	ITGA4
393	ERCC5
3537	ERCC5
3981	BAX
2532	CTNNA1
2138	STIP1
205	MAP2K3
208	PRKCQ
3485	CTNNA1
849	TYRO3
157	XRCC5
4215	PLCB2
73	DR1
187	IK
96	UBE2L3
28	TIEG
1376	PRKAR1A
5250	PRKAR1A
275	RALB
74	CBF2
3130	FSHB
39	PPP2CA
114	RPS6KB1
4240	CTSD
185	SRM
2134	SRM
235	MAP4
405	MAP4
1622	HSF1
2357	SELL
53	TRIP15
1300	NFATC3
398	GPR18
35	GPR18
202	H3F3A
3150	LAMR1
3862	LTA
3625	LTA
166	QDPR
48	AMD1
47	AMD1
82	SELE
3538	FRAP1
554	PECAM1
39	OASL
2443	ZNF148
39	DNAJA1
1783	MCL1
2399	NR4A1
2219	NR4A1
89	MPHOSPH1
174	UQCRC1
1667	H2AFO
3529	ATF3
201	LBR
4998	STAT3
65	CLK1
3270	CDC2L1
57	TUBB
1500	TUBB
4211	BTF3L2
1895	ARHGEF1
1344	ARHGEF2
67	ARHGEF2
2632	HMGN1
2027	PTK2
828
2496	TRAV8-6
3175	RPS19
4484	GALNT2
3964	HAT
162	FLJ31564
278	RPL28
510	OSIL
766	C1orf1
281	PIGB
2099	HCRT
4340	GPR15
3524	TRAV6
3121	TRAV6
614
228	ANXA2P3
3386
4267	TRB
1903
4509
3765	CD44
801	TMSB10
214
3131	CASP8
4193	M9
147	XCL2
95	XCL2
3548	GAGE1
4199	FCGR3B
185	PRDM2
2680
351	HDLBP
3419	RPL8
125	TXNIP
758	RPL13
2080	H3F3B
3679	RPS9
3960	DOK2
2834	BTF3L1
174	BTF3L2
296	BTF3L3
426	HIST1H4J
4669	HIST1H2BF
164	HIST1H2BE
3589	HIST1H2BI
2060	USP6
3641	RPS2
4172	H2BFE
1735
3618	RTN4
792	RPLP0
3124	TNFRSF9
1130	RPS18
3334	RPL18
228
2638	TMSB4X
4063	SLC13A2
2147	RPS10
3184	RPS25
3690	RPS8
1332	TPT1
235	KRTHA3A
3856	IGLL2
130	PRDM2
717	PMS2L1
2647	LOC171220
221	VDAC1P
2881
1766
4194	MT1F
520	MT1A
3443	ZNF259P
2647	NDUFS7
3885	CDA02
306	CAMK2G
1930	RBMS1
2442	RBMS1
4204	CMAR
962	PTENP1
102	TOP1P2
4953	GLUD2
944	GLUD2
2685	HSPA1B
350	RSC1A1
277	RSC1A1
4589	FTHP1
3557	PIK3CB
3462	GPR35
4001	RPL30
4353	TRAV6
3347	RPL3
48	RLN2
3513
3839	ACTA1
3451	TNFSF14
5606	KIAA0694
2056
2875	PRDM1
396	KIR2DL3
94	CAMLG
999	KIAA0637
60	TP63
985	NT5C2
2615	TBPL1
1207	H1FX
191
137
5603	KIAA0226
4029	SULT1A1
164	FLJ10432
4251	ING3
1646	HCLS1
83	KIAA0595
1614	CUTL1
1889	KIAA0674
4288	TGOLN2
238	TGOLN2
4982	KIAA0286
3368	PIP5K1A
414	MTIF2
3357	BC002942
112	HSU79274
265	DKFZP434E2216
3067	BCS1L
60	ELF4
112	D13S106E
110	KIAA0564
117	GCLC
60	RFP2
1749	DKFZP564O043
75	EED
106	CASK
4001	NUTF2
52	PMI
1225	IGHMBP2
105	KIAA0179
81	MPHOSPH6
83	ASK
1019	F23149_1
2305
55	SWAP70
4055	CD37
1573	SS18
999	ARD1
184	ASB1
53
74	CDC23
3014	ABCF2
2429	FUBP3
3004	D8S2298E
1264	MOB
3872	U3-55K
192	MTRR
2698	MLH3
2824	NT5E
636	TSSC3
49	ZNF143
1730	CHI3L2
3070	PTPRM
3825	ARL2
62	CENPC1
37	BACH1
211	NAG
595	KIAA0212
1089	KIAA0103
56	H1FX
321	KCNAB2
3515	SS18L1
131	HSBP1
3535	RPL14
1160	KIAA0754
1121	H963
2669	OR2F1
3734
223	C21orf33
668	BTF3
4143	DDX11
5338	LKAP
1601	TULP3
4667	SH2D1A
307	RPS21
881	PABPC1
1244	PABPC1
3238	RPL6
3651	FAU
2540	RPLP1
1950	RPLP1
201
3032	RPL37A
2025
116
587
2480
303	PEX6
4299	CDC2L2
97
1140	PDZ-GEF1
122	PMM2
661	PDPK1
1508	CAD
106	DGSI
4314	CHKL
35	ZNF217
555	HLA-DRB4
2494	RPP14
3791	RPP14
199	SRP46
1859	AP3B1
191	CDC5L
70	CDC5L
3346	COVA1
3739	KIAA0010
340	DATF1
1023	PRKCD
1847	DFFA
994
2501	MGC2840
2612	HBB
4223	CCNT2
2172	CCNT2
74	HNK-1ST
3550
670	BNIP2
68	FLJ10871
605	KIAA0014
3294	PPARBP
3883	CREM
2761	CREM
3388	CREM
53	N4BP1
177	PTPRCAP
51	DCLRE1A
3634	ZFP161
1611	KIF13B
2659	TETRAN
4246
2860	TM7SF1
4100	SLC22A5
2080	KIAA0981
118	ZNF184
53	HSF2
295	BLZF1
229	KIAA0446
302	SDC3
3607	FLJ20244
2706	PCNT2
96	KIAA0138
735	SACS
1413	CAMK2G
113	CDYL
173	AIM1
1036	AIM1
105	ADORA2A
4167	LAK-4P
4220	AATF
2659	RAD17
4527
3343	DEEPEST
1363	PIK3CD
3615	THO2
1594	THO2
3495	ZNF364
4355	PTOV1
5519	KIAA0675
3311	KIAA0675
317	PIP5K1C
111	TES
153	JAG2
626	SORL1
272	RFX5
1182	ADD1
3241	ADD1
2203	GOLGA4
1987	RANGAP1
199	UBB
889	PPP1CA
4243	RAD9
4040	KRAS2
57	SIAH1
534	SIAH1
3661	CSH2
4603	SFRS7
6376	TLN1
510	PMPCB
2515	DSCR1
87	FBXO21
1667	FBXO21
3711	EIF5
142	SHARP
402	UK114
87	SLC9A3R1
290	CDC10
202	CAPRI
4402	SNAP23
4240	SNAP23
101	RES4-22
2800	FLOT2
1238	STK38L
1045	SFRS11
1338	LMO2
107
41	SLC7A5
329	MYT1
154	ZNF144
584	PLXNC1
93	CBF2
3829
73	TIP120A
128	SLC25A11
4713	FLJ20452
110	SSNA1
3771	C20orf18
3682	C20orf18
152	PRKRA
229	MPP1
3947	KIAA0355
3290	MTVR1
336	PGM1
88	PSMD13
1289	PDCD8
144	TXNL
257	C12orf22
4559
2708	TLK1
309	HMGB1
75	MRPS18B
884	FLJ14639
4484	KIAA0365
129	KIAA0769
688	ATP1A1
545	MAP4
1665	PRG1
84	EIF4EL3
1069	EIF3S2
4762	NDUFB5
156	TOR1B
65	DYT1
1345	KIAA0544
4421	UBE2G2
1366	KIAA0265
3851	BIN1
3792	PSMD5
117	TARDBP
1575	KIAA0737
4111	KIAA0737
383	KIAA0737
242	KAI1
84	PRO2730
1862	FLJ21174
705	RERE
185	VAMP2
96	TERF1
171	TERF1
2319	TERF1
6037	TERF1
2999	EZH1
4456	PEA15
54	BAZ1B
47	CGI-01
1426	GZMM
3724	ZNF345
1299	FOSL1
72	K-ALPHA-1
2276
2388	RPL32
185	KLRC3
4415	KLRC3
168	KLRC2
4467	PMS2L6
4190	TPM2
5110	RPS24
248	HSPCA
4265	SULT1A2
3512	ACTB
3275	HLA-E
1715	YWHAB
61	FLJ23053
193	KRTHB6
3238	RPS11
58	IDH2
129	UBC
114	UBC
6399	ALDOA
3566	RPL21
4755	NSEP1
1155	RPL23A
2350	EPB41
3135	MALT1
3932	PNMT
3943	DKFZP564D166
31
53	CH25H
765	CTLA1
4024	CTSB
5726	PKM2
52	HNRPDL
839	RPL23
3652	RPL23
5145	BFT3
3740	NRTN
3348	THEA
3246
3034	RPS14
4132	TRVB10-1
180
2900	RPL15
4315
1828	MARCKS
1722	RPL19
2732	RPL27A
3004	RPS5
1200	RPS20
3268	RPL17
823	CTPS
2389	ZNF157
351	RPL26
3166	PAFAH1B2
1524	PELP1
2209	RPL41
961	PAX7
258	SMT3H2
3654	KPNA4
5330	PP1665
147	MY014
471	TBC1D1
1370	KIAA1096
4047	KIAA1096
1131	AKR7A2
74	CAPN7
678	ZNF259
676	CLTB
104	CLPP
67	CKAP4
232	YWHAQ
3683	VAMP5
2477	EBP
228	TF
3552	COP9
4152	PPP3CC
43	PPP3CC
960	FHL1
381	CALR
910	RSU1
4203	RSU1
65	FH
2071	M6PR
217	P23
221	MAZ
2786	TBL1X
3065	U2AF65
3776	LSM4
4687	KIAA0146
1230	ATP1B3
126	SEC61B
4108	SMARCD3
586	PAFAH1B1
3264	MAT2A
835	USP9X
213	SFRS9
332	SMPD1
184	NAP1L4
4033	EIF3S5
